accidentId,severity,eventDate,side,city,county,state,zipcode,temperature_F,windChill_F,humidity_perc,pressure_in,visibility_mi,windDirection,windSpeed_mph,precipitation_in,weatherCondition,sunriseSunset
A-944931,2,2021-04-01,R,Jacksonville,Duval,FL,32256,61,61,41,30.11,10,NNW,21,0,Mostly Cloudy / Windy,Day
A-666674,2,2021-03-26,R,Tucson,Pima,AZ,85745-1816,52,52,33,27.04,10,E,8,0,Fair,Night
A-719958,2,2021-07-23,R,Santa Maria,Santa Barbara,CA,93455-5800,70,70,59,29.78,8,NNW,12,0,Fair,Day
A-1013510,2,2021-06-28,R,Stockton,San Joaquin,CA,95206,66,66,68,29.66,10,W,8,0,Fair,Night
A-514919,2,2021-07-07,R,New York,New York,NY,10035,89,89,57,29.83,8,VAR,5,0,Fair,Day
A-286387,2,2021-04-09,R,Greer,Spartanburg,SC,29651,70,70,68,28.98,10,WSW,6,0,Partly Cloudy,Day
A-858528,2,2021-03-05,R,Bonita Springs,Lee,FL,34134,55,55,77,29.96,10,N,3,0,Smoke,Night
A-827665,2,2021-08-05,R,Sandy Hook,Fairfield,CT,6482,73,73,87,29.31,10,N,8,0,Cloudy,Day
A-260856,2,2021-09-29,L,Green Lane,Montgomery,PA,18054-2269,68,68,43,29.44,10,NW,8,0,Partly Cloudy,Day
A-995291,2,2021-09-18,R,Dallas,Dallas,TX,75237-3609,92,92,41,29.28,10,NNW,8,0,Fair,Day
A-897573,2,2021-09-02,R,Dallas,Dallas,TX,75207,83,83,72,29.35,10,S,7,0,Fair,Night
A-867021,2,2021-11-25,R,Dallas,Dallas,TX,75223,54,54,40,29.82,10,N,20,0,Fair,Day
A-228681,2,2021-12-16,L,Whittier,Los Angeles,CA,90604-2417,54,54,51,30.07,10,CALM,0,0,Fair,Day
A-500486,2,2021-06-06,L,San Diego,San Diego,CA,92113-1626,65,65,65,29.9,10,WSW,7,0,Cloudy,Day
A-813985,2,2021-08-11,R,Orlando,Orange,FL,32839-3918,90,90,55,30.04,10,N,8,0,Mostly Cloudy,Day
A-575472,2,2021-10-21,R,Richmond,Richmond City,VA,23220,67,67,54,29.9,10,SW,8,0,Fair,Day
A-949380,2,2021-08-06,R,Stafford,Stafford,VA,22556,90,90,34,29.94,10,ESE,9,0,Fair,Day
A-316459,2,2021-05-07,R,Chandler,Maricopa,AZ,85286,95,95,6,28.51,10,SSW,9,,Fair,Day
A-972279,2,2021-07-17,L,Yemassee,Colleton,SC,29945-5034,,,,30.13,,,,0,,Day
A-804235,2,2021-11-26,R,Gainesville,Alachua,FL,32608-5050,52,52,97,29.87,10,W,5,0,Fair,Night
A-65763,2,2016-10-12,R,Charlotte,Mecklenburg,NC,28226-4402,51.1,,83,30.34,10,North,6.9,,Partly Cloudy,Day
A-228388,2,2021-09-10,R,Calabasas,Los Angeles,CA,91302,95,95,28,29.05,10,VAR,5,0,Fair,Day
A-564752,2,2021-10-13,R,Oakdale,Stanislaus,CA,95361-8611,70,,17,29.83,10,,,0,Fair,Day
A-595722,2,2021-08-07,R,Orangeburg,Orangeburg,SC,29115,74,74,100,29.86,0.75,VAR,7,0.89,T-Storm,Night
A-459877,4,2021-09-14,R,Fort Myers,Lee,FL,33912,74,74,93,29.98,10,E,7,0,Partly Cloudy,Night
A-733235,2,2021-11-22,L,Crockett,Contra Costa,CA,94525-1566,60,60,57,30.13,10,N,8,0,Fair,Day
A-452684,2,2021-06-02,R,Nunnelly,Hickman,TN,37137,68,68,100,29.19,10,S,9,0,Fair,Night
A-1028397,2,2021-11-03,R,Dallas,Dallas,TX,75205,48,45,96,29.7,10,NE,7,0,Light Rain,Night
A-139876,2,2017-02-07,R,Mount Laurel,Burlington,NJ,8054,48.9,,90,29.77,10,East,5.8,,Overcast,Day
A-888869,2,2021-11-01,L,Greenville,Greenville,SC,29615-5749,68,68,47,29.03,10,SW,7,0,Fair,Day
A-738666,2,2021-05-07,R,Tennyson,Warrick,IN,47637,60,60,72,29.43,10,SSW,6,0,Cloudy,Day
A-323172,2,2021-05-28,R,Miami,Miami-Dade,FL,33184-1326,74,74,85,30.06,10,CALM,0,0,Fair,Day
A-868890,2,2021-12-07,R,Lake Charles,Calcasieu,LA,70615,52,52,88,30.01,6,N,7,0,Cloudy,Day
A-862388,2,2021-12-23,R,Columbia,Richland,SC,29229-8518,56,56,26,30.05,10,SE,5,0,Fair,Day
A-182679,2,2017-04-07,R,Garden Grove,Orange,CA,92843,66.9,,59,30.04,10,Variable,5.8,,Overcast,Day
A-494388,2,2021-10-21,R,Ridgeville,Berkeley,SC,29472,59,59,100,30.16,,CALM,0,0,Fair,Day
A-817986,2,2021-06-19,R,Austin,Travis,TX,78724-7230,89,89,42,29.26,10,SSE,8,0,Partly Cloudy,Day
A-508078,2,2021-11-27,R,San Diego,San Diego,CA,92103,74,74,28,30.04,10,NW,6,0,Fair,Day
A-270803,2,2021-09-22,R,Miami,Miami-Dade,FL,33162-3605,80,80,79,29.99,10,CALM,0,0,Fair,Day
A-241206,2,2021-11-11,R,Jamestown,Tuolumne,CA,95327-9503,48,48,100,27.99,8,CALM,0,0,Fair,Night
A-443893,2,2021-12-14,R,Mission Viejo,Orange,CA,92691,60,60,90,29.82,3,SSW,18,0.23,Light Rain,Day
A-358531,2,2021-10-25,R,Woodland Hills,Los Angeles,CA,91367,54,54,86,29.07,10,CALM,0,0,Fair,Night
A-102514,3,2016-04-12,R,New Albany,Floyd,IN,47150,37,,93,30.26,10,Calm,,,Clear,Day
A-467700,2,2021-11-19,R,San Jose,Santa Clara,CA,95116,59,59,88,29.96,8,WNW,9,,Cloudy,Night
A-209052,4,2017-07-03,R,New Haven,Allen,IN,46774-9638,81,,62,30.07,10,WSW,5.8,,Mostly Cloudy,Day
A-859857,2,2021-04-27,R,Glendale,Maricopa,AZ,85302-1903,75,75,27,28.66,10,SSE,5,0,Partly Cloudy,Day
A-720645,2,2021-11-29,R,Indianapolis,Marion,IN,46224,26,26,75,29.27,10,CALM,0,0,Fair,Day
A-620600,2,2021-10-25,L,Springfield,Fairfax County,VA,22152-1637,78,78,57,29.69,10,S,8,0,Fair,Day
A-312605,2,2021-12-31,R,Lansing,Cook,IL,60438,43,39,100,28.98,5,E,7,0,Cloudy,Day
A-380935,2,2021-03-02,R,Gilchrist,Klamath,OR,97737,34,27,75,26.49,10,SW,8,0,Fair,Day
A-335275,2,2021-11-06,L,Orlando,Orange,FL,32801,54,54,86,29.86,10,NW,17,0,Cloudy,Night
A-158191,3,2017-03-17,R,Fort Lee,Bergen,NJ,7024,33.1,23.4,50,30.28,10,West,13.8,,Clear,Day
A-106446,2,2016-12-14,R,Hercules,Contra Costa,CA,94547,57.9,,81,29.93,10,South,6.9,,Haze,Night
A-460419,2,2021-12-11,R,Sarasota,Sarasota,FL,34238,71,71,93,30.05,10,SE,9,0,Fair,Day
A-668617,2,2021-11-22,R,Leesville,Lexington,SC,29070-9301,58,58,80,29.32,10,CALM,0,0,Fair,Day
A-78181,3,2016-09-06,R,Miami,Miami-Dade,FL,33150,82,,79,30.12,10,East,12.7,0,Light Thunderstorms and Rain,Day
A-399494,2,2021-07-02,R,Santa Barbara,Santa Barbara,CA,93105,71,71,70,29.89,10,WSW,7,0,Fair,Day
A-35595,2,2016-12-13,R,Cherry Hill,Camden,NJ,8034,41,39,49,30.16,10,ESE,3.5,,Clear,Day
A-825374,2,2021-12-18,R,Los Angeles,Los Angeles,CA,90061-1209,63,63,38,30.04,10,W,8,0,Fair,Day
A-496952,2,2021-08-30,R,Austin,Travis,TX,78754-1843,,,,29.21,10,,,0,Fair,Day
A-606281,2,2021-05-27,R,Buena Park,Orange,CA,90620,68,,61,29.98,10,,,0,Partly Cloudy,Day
A-147241,2,2017-03-13,R,Dallas,Dallas,TX,75241,50,,93,30.13,3,NW,3.5,,Overcast,Day
A-554812,2,2021-05-21,R,Inman,Spartanburg,SC,29349-8433,79,79,42,29.6,10,ENE,7,0,Fair,Day
A-735187,2,2021-04-06,R,Dade City,Pasco,FL,33525-1546,54,54,100,30,10,CALM,0,0,Fair,Day
A-823119,2,2021-10-10,R,Los Angeles,Los Angeles,CA,90065,55,55,83,29.82,10,CALM,0,0,Fair,Night
A-837557,2,2021-12-14,R,Pittston,Luzerne,PA,18641,44,44,47,29.5,10,CALM,0,0,Fair,Night
A-102602,2,2016-04-14,R,Cincinnati,Hamilton,OH,45241,66.9,,27,30.19,10,ENE,12.7,,Clear,Day
A-864454,2,2021-08-05,R,Sparks,Washoe,NV,89434,67,67,34,25.56,10,CALM,0,0,Fair,Night
A-28314,2,2016-06-22,R,Fort Worth,Tarrant,TX,76106,97,,40,29.91,10,South,17.3,,Partly Cloudy,Day
A-1020110,2,2021-05-25,R,Bakersfield,Kern,CA,93307,83,83,22,29.43,9,VAR,5,0,Fair,Day
A-974497,2,2021-12-27,R,San Marcos,San Diego,CA,92078,45,45,86,29.72,10,E,3,0,Fair,Day
A-675329,2,2021-10-22,L,Austin,Williamson,TX,78729-7912,83,83,49,29.25,10,SE,6,0,Fair,Day
A-386329,2,2021-12-26,R,Pebble Beach,Monterey,CA,93953,49,45,64,29.77,10,W,9,0,Mostly Cloudy,Night
